Rule	ID	Consequent	TP	FP	TN	FN	Acc	AUC	CONF	Cov	FPR	G-Mean	GR	GR_Pct	Jacc	SuppDiff	Supp	TNR	TPR	WRAcc	WRAcc_Norm
39	-1885174397	1	6	11	202	80	0.695652	0.509062	0.352941	0.056856	0.051643	0.257224	1.350951	1.000000	0.061856	0.018124	0.020067	0.948357	0.069767	0.003714	0.509062	
40	1519252042	1	6	11	202	80	0.695652	0.509062	0.352941	0.056856	0.051643	0.257224	1.350951	1.000000	0.061856	0.018124	0.020067	0.948357	0.069767	0.003714	0.509062	
41	-326058908	1	56	97	116	30	0.575251	0.597882	0.366013	0.511706	0.455399	0.595503	1.429873	1.000000	0.306011	0.195764	0.187291	0.544601	0.651163	0.040111	0.597882	
42	-2092392197	1	0	1	212	86	0.709030	0.497653	0.000000	0.003344	0.004695	0.000000	0.000000	0.000000	0.000000	-0.004695	0.000000	0.995305	0.000000	-0.000962	0.497653	
43	-1391922967	1	6	13	200	80	0.688963	0.504367	0.315789	0.063545	0.061033	0.255948	1.143113	1.000000	0.060606	0.008735	0.020067	0.938967	0.069767	0.001790	0.504367	
44	452035507	1	56	97	116	30	0.575251	0.597882	0.366013	0.511706	0.455399	0.595503	1.429873	1.000000	0.306011	0.195764	0.187291	0.544601	0.651163	0.040111	0.597882	
45	1301764295	2	7	9	197	86	0.682274	0.515790	0.437500	0.053512	0.043689	0.268292	1.722820	1.000000	0.068627	0.031579	0.023411	0.956311	0.075269	0.006767	0.515790	
46	-2020351575	2	59	88	118	34	0.591973	0.603612	0.401361	0.491639	0.427184	0.602826	1.485093	1.000000	0.325967	0.207224	0.197324	0.572816	0.634409	0.044407	0.603612	
47	-2012799106	2	60	95	111	33	0.571906	0.591998	0.387097	0.518395	0.461165	0.589606	1.398981	1.000000	0.319149	0.183996	0.200669	0.538835	0.645161	0.039429	0.591998	
48	1793992767	2	0	0	206	93	0.688963	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
49	1759872843	2	58	85	121	35	0.598662	0.605517	0.405594	0.478261	0.412621	0.605246	1.511448	1.000000	0.325843	0.211035	0.193980	0.587379	0.623656	0.045223	0.605517	
50	-1903828436	2	7	9	197	86	0.682274	0.515790	0.437500	0.053512	0.043689	0.268292	1.722820	1.000000	0.068627	0.031579	0.023411	0.956311	0.075269	0.006767	0.515790	
51	-1901201244	2	7	9	197	86	0.682274	0.515790	0.437500	0.053512	0.043689	0.268292	1.722820	1.000000	0.068627	0.031579	0.023411	0.956311	0.075269	0.006767	0.515790	
52	2018189958	2	58	86	120	35	0.595318	0.603090	0.402778	0.481605	0.417476	0.602739	1.493873	1.000000	0.324022	0.206180	0.193980	0.582524	0.623656	0.044183	0.603090	
53	2085563775	2	7	9	197	86	0.682274	0.515790	0.437500	0.053512	0.043689	0.268292	1.722820	1.000000	0.068627	0.031579	0.023411	0.956311	0.075269	0.006767	0.515790	
54	1728412896	2	58	85	121	35	0.598662	0.605517	0.405594	0.478261	0.412621	0.605246	1.511448	1.000000	0.325843	0.211035	0.193980	0.587379	0.623656	0.045223	0.605517	
55	329510382	2	9	10	196	84	0.685619	0.524115	0.473684	0.063545	0.048544	0.303441	1.993548	1.000000	0.087379	0.048231	0.030100	0.951456	0.096774	0.010335	0.524115	
56	-866293260	2	6	13	193	87	0.665552	0.500705	0.315789	0.063545	0.063107	0.245855	1.022333	1.000000	0.056604	0.001409	0.020067	0.936893	0.064516	0.000302	0.500705	
57	841351044	2	6	10	196	87	0.675585	0.507986	0.375000	0.053512	0.048544	0.247759	1.329032	1.000000	0.058252	0.015972	0.020067	0.951456	0.064516	0.003423	0.507986	
58	2145623487	2	51	77	129	42	0.602007	0.587300	0.398438	0.428094	0.373786	0.586010	1.467114	1.000000	0.300000	0.174601	0.170569	0.626214	0.548387	0.037416	0.587300	
59	-942548330	2	52	79	127	41	0.598662	0.587822	0.396947	0.438127	0.383495	0.587122	1.458010	1.000000	0.302326	0.175645	0.173913	0.616505	0.559140	0.037639	0.587822	
60	1273812322	2	9	10	196	84	0.685619	0.524115	0.473684	0.063545	0.048544	0.303441	1.993548	1.000000	0.087379	0.048231	0.030100	0.951456	0.096774	0.010335	0.524115	
61	-1328176984	3	0	1	289	9	0.966555	0.498276	0.000000	0.003344	0.003448	0.000000	0.000000	0.000000	0.000000	-0.003448	0.000000	0.996552	0.000000	-0.000101	0.498276	
