Rule	ID	Consequent	WRAcc_Norm	SuppDiff
181	-255846531	8	0.749145	0.498289	
182	-1515691825	8	0.749145	0.498289	
183	976661290	8	0.749145	0.498289	
184	-1497688265	8	0.749145	0.498289	
185	1614528591	8	0.749145	0.498289	
186	150733638	8	0.749145	0.498289	
187	-1337260254	8	0.749145	0.498289	
188	-1162288193	8	0.749145	0.498289	
189	1274295268	8	0.749145	0.498289	
190	1727911219	8	0.749145	0.498289	
191	-1871882941	8	0.749145	0.498289	
192	-601091779	8	0.749145	0.498289	
193	-1658438788	8	0.749145	0.498289	
194	259311568	8	0.749145	0.498289	
195	692344135	8	0.749145	0.498289	
196	1703807494	8	0.749145	0.498289	
197	-1053847500	8	0.749145	0.498289	
198	-1975314973	8	0.749145	0.498289	
199	-1348939520	8	0.749145	0.498289	
200	-266583710	8	0.749145	0.498289	
201	-607535673	8	0.749145	0.498289	
202	1717791107	8	0.749145	0.498289	
203	-16331939	8	0.749145	0.498289	
204	-236446296	8	0.749145	0.498289	
205	-1151071619	8	0.749145	0.498289	
206	-1796490912	8	0.749145	0.498289	
207	-870420370	8	0.749145	0.498289	
208	1556569116	8	0.749145	0.498289	
209	-896408357	8	0.749145	0.498289	
210	-613529036	8	0.749145	0.498289	
211	-415568050	8	0.749145	0.498289	
212	-1812689507	9	1.000000	1.000000	
213	1738558464	9	1.000000	1.000000	
214	-1039749296	9	1.000000	1.000000	
215	-1666409631	9	1.000000	1.000000	
216	1438870307	9	1.000000	1.000000	
217	428495673	9	1.000000	1.000000	
218	1167385881	9	1.000000	1.000000	
219	1217822255	9	1.000000	1.000000	
220	319262320	9	1.000000	1.000000	
221	-599701799	9	1.000000	1.000000	
222	1929111202	9	1.000000	1.000000	
223	-187556988	9	1.000000	1.000000	
224	-788125842	9	1.000000	1.000000	
225	-592026762	9	1.000000	1.000000	
226	216394798	9	1.000000	1.000000	
227	-219585298	9	1.000000	1.000000	
228	-852064487	9	1.000000	1.000000	
229	-666910397	9	1.000000	1.000000	
230	-1473157337	9	1.000000	1.000000	
231	-247321040	9	1.000000	1.000000	
------	------	------	0.791468	0.582936
